# eps        delta        F1_z (SBT)            F1_z (BIE)     Relative Error
# cases delta = 100eps:      (should be the most accurate, 0.01% error?)
0.0001       0.01       -1.30201588465       -1.302021171594        4.1e-06
0.0002       0.02       -1.433935553         -1.433943723489        5.7e-06
0.0005       0.05       -1.6138767015        -1.613892840667        1.0e-05
0.001        0.1        -1.73979531224       -1.739825619513        1.7e-05
0.002        0.2        -1.83417639778       -1.834240271754        3.5e-05
# cases delta = 10eps:      (1% error?)
0.0005       0.005      -1.88681149739       -1.887578578592        4.1e-04
0.001        0.01       -2.141785829         -2.142906039386        5.2e-04
0.002        0.02       -2.42930635829       -2.430984956114        6.9e-04
0.005        0.05       -2.84881070235       -2.851879807840        1.1e-03
0.01         0.1        -3.17290818864       -3.178159600036        1.7e-03
# cases delta = 3eps:        (10% error?)
0.005        0.015      -3.20628472285365    -3.225042022622        5.8e-03
0.01         0.03       -3.69496289782689    -3.723376682272        7.6e-03
0.02         0.06       -4.22422810823       -4.269266708723        1.1e-02
0.05         0.15       -4.91752388546598    -5.009164284871        1.8e-02
0.1          0.3        -5.34660781139427    -5.518957386492        3.1e-02
